searchText|country
Egelstraße, 04103 Leipzig|DEU
Johannisplatz, 04103 Leipzig|DEU
Kurt-Schumacher-Straße 12, 04103 Leipzig|DEU
Rosa-Luxemburg-Straße 49, 04103 Leipzig|DEU
Schützenstraße, 04103 Leipzig|DEU
Nürnberger Straße 45, 04103 Leipzig|DEU
Semmelweisstraße, 04103 Leipzig|DEU
Straße des 18. Oktober, 04103 Leipzig|DEU
Straße des 18. Oktober, 04103 Leipzig|DEU
Täubchenweg, 04103 Leipzig|DEU
Talstraße, 04103 Leipzig|DEU
Tarostraße 18, 04103 Leipzig|DEU
Tarostraße 2, 04103 Leipzig|DEU
Tarostraße 8, 04103 Leipzig|DEU
Windmühlenstraße 31, 04103 Leipzig|DEU
Arthur-Hoffmann-Straße, 04107 Leipzig|DEU
Bernhard-Göring-Straße, 04107 Leipzig|DEU
Dufourstraße, 04107 Leipzig|DEU
Ferdinand-Rhode-Straße, 04107 Leipzig|DEU
Haydnstraße, 04107 Leipzig|DEU
Karl-Liebknecht-Straße 34, 04107 Leipzig|DEU
Lößniger Straße 7, 04107 Leipzig|DEU
Mozartstraße, 04107 Leipzig|DEU
Wächterstraße, 04107 Leipzig|DEU
Wächterstraße 36, 04107 Leipzig|DEU
Ferdinand-Lassalle-Straße, 04109 Leipzig|DEU
Käthe-Kollwitz-Straße, 04109 Leipzig|DEU
Lessingstraße 10, 04109 Leipzig|DEU
Marschnerstraße 29, 04109 Leipzig|DEU
Rudolphstraße, 04109 Leipzig|DEU
Sebastian-Bach-Straße, 04109 Leipzig|DEU
Friedrich-Ebert-Straße 116, 04105 Leipzig|DEU
Goyastraße 12, 04105 Leipzig|DEU
Kickerlingsberg, 04105 Leipzig|DEU
Waldstraße 177, 04105 Leipzig|DEU
Frickestraße, 04105 Leipzig|DEU
Karl-Rothe-Straße, 04105 Leipzig|DEU
Michaelisstraße, 04105 Leipzig|DEU
Parthenstraße, 04105 Leipzig|DEU
Pfaffendorfer Straße, 04105 Leipzig|DEU
Roscherstraße, 04105 Leipzig|DEU
Löbauer Straße, 04347 Leipzig|DEU
Löbauer Straße 35, 04347 Leipzig|DEU
Rackwitzer Straße 36, 04347 Leipzig|DEU
Stannebeinplatz, 04347 Leipzig|DEU
Volbedingstraße 4, 04347 Leipzig|DEU
Waldbaurstraße, 04347 Leipzig|DEU
Bästleinstraße 35, 04347 Leipzig|DEU
Bautzner Straße 67, 04347 Leipzig|DEU
Bautzner Straße 7, 04347 Leipzig|DEU
Fritz-Siemon-Straße, 04347 Leipzig|DEU
Fritz-Siemon-Straße, 04347 Leipzig|DEU
Kohlweg, 04347 Leipzig|DEU
Löbauer Straße, 04347 Leipzig|DEU
Löbauer Straße 59, 04347 Leipzig|DEU
Max-Lingner-Straße, 04347 Leipzig|DEU
Permoserstraße, 04347 Leipzig|DEU
Permoserstraße 1, 04347 Leipzig|DEU
Poserstraße 45, 04347 Leipzig|DEU
Schwantesstraße 41, 04347 Leipzig|DEU
Shukowstraße, 04347 Leipzig|DEU
Shukowstraße 48, 04347 Leipzig|DEU
Shukowstraße 8, 04347 Leipzig|DEU
Stöhrerstraße 16, 04347 Leipzig|DEU
Volksgartenstraße, 04347 Leipzig|DEU
Döringstraße 25, 04357 Leipzig|DEU
Friedrichshafner Straße, 04357 Leipzig|DEU
Gontardweg, 04357 Leipzig|DEU
